[Header]
; RT |dR/dT| analysis output
TITLE, WinWrapPPMSControl RT post-analysis
DATATYPE, COMMENT,1
DATATYPE, TIME,2
BYAPP, MultiVuDataFile VBA class
STARTUPAXIS, X, 3, LINEAR, AUTO
STARTUPAXIS, Y3, 5, LINEAR, AUTO
STARTUPAXIS, Y4, 6, LINEAR, AUTO
[Data]
Comment,Time Stamp (sec),Temperature (K),Field (Oe),Ch2_Resistance_Ohm,Ch2_abs_dRdT_OhmPerK
,,2.63500118255615,0.427135109901428,,
,,2.63511872291565,0.462729692459106,0.6278319,45.2058653388822
,,2.62994766235352,0.177972957491875,,
,,2.63026523590088,0.427135109901428,0.4349946,32.7368313840791
,,2.62497639656067,-0.142378360033035,,
,,2.62491655349731,-0.160175666213036,0.2938452,24.3475394473742
,,2.61991786956787,-0.373743206262589,,
,,2.6202974319458,-0.124581068754196,0.1923031,16.61660911763
,,2.61472129821777,-0.142378360033035,,
,,2.61486530303955,-0.160175666213036,0.1268275,10.8118079848144
,,2.61014556884766,-0.142378360033035,,
,,2.61003136634827,-8.89864787459373E-02,0.08130837,7.22504074380996
,,2.60477352142334,0.284756720066071,,
,,2.60520195960999,0.30255401134491,0.05700945,4.27260379297856
,,2.60004758834839,0.284756720066071,,
,,2.60000681877136,0.266959428787231,0.03847745,2.64742285923598
,,2.59476399421692,0.231364846229553,,
,,2.5946638584137,0.213567554950714,0.02911064,1.44272800541642
,,2.59015607833862,0.266959428787231,,
,,2.59000420570374,0.213567554950714,0.0240464,0.689304095679336
,,2.58499002456665,0.213567554950714,,
,,2.58487272262573,0.266959428787231,0.02236157,0.403047581353514
,,2.58020806312561,0.142378360033035,,
,,2.58034896850586,0.213567554950714,0.02015488,4.71018593424153E-02
,,2.57508683204651,0.231364846229553,,
,,2.57519221305847,0.160175666213036,0.0219056,4.98594576553999E-02
,,2.56985425949097,0.177972957491875,,
,,2.57004380226135,0.231364846229553,0.02066869,0.175343138143001
,,2.56490278244019,-1.77972950041294E-02,,
,,2.56513142585754,-1.77972950041294E-02,0.02014151,3.77267302077665E-02
,,2.56031799316406,0.266959428787231,,
,,2.55981922149658,0.231364846229553,0.02028295,1.87054822221257E-02
,,2.55505132675171,0.266959428787231,,
,,2.55482268333435,0.231364846229553,0.02033434,9.36006453144111E-04
,,2.54997515678406,-0.30255401134491,,
,,2.55017185211182,-0.355945914983749,0.02029198,7.01557021522074E-02
,,2.54523539543152,-0.33814862370491,,
,,2.54492783546448,-0.284756720066071,0.01964016,0.065513422290514
,,2.53997755050659,-0.409337788820267,,
,,2.54012322425842,-0.622905373573303,0.01963366,1.42442597400569E-02
,,2.53498840332031,-0.355945914983749,,
,,2.53491187095642,-0.30255401134491,0.01978283,6.44107301951527E-02
,,2.52984523773193,-0.30255401134491,,
,,2.53017783164978,-0.284756720066071,0.02027425,9.97189781795448E-02
,,2.52492904663086,-0.30255401134491,,
,,2.52515244483948,-0.30255401134491,0.02075603,0.10150862325068
,,2.52002549171448,-0.605108022689819,,
,,2.51994037628174,0.213567554950714,0.01923506,0.132386207681206
,,2.51494288444519,-0.249162137508392,,
,,2.51502752304077,-0.30255401134491,0.01941563,0.118870505269566
,,2.5098934173584,-0.33814862370491,,
,,2.51022005081177,-0.373743206262589,0.02039052,0.29332386606655
,,2.50494837760925,-0.320351332426071,,
,,2.50475406646729,-0.58731073141098,0.02242908,8.69884372042275E-02
,,2.50013780593872,-0.605108022689819,,
,,2.50009226799011,-0.320351332426071,0.02127152,0.18367446205074
,,2.49499225616455,-0.284756720066071,,
,,2.4948353767395,-0.33814862370491,0.02060727,0.153049122793999
,,2.48994517326355,-0.320351332426071,,
,,2.49001622200012,-0.551716148853302,0.01972939,0.157180046236993
,,2.4847993850708,-0.284756720066071,,
,,2.48512721061707,-0.284756720066071,0.01908134,4.17749556834363E-02
,,2.4800980091095,-0.33814862370491,,
,,2.48002123832703,-0.266959428787231,0.01931185,2.15877123870919E-02
,,2.47518229484558,-0.33814862370491,,
,,2.47487878799438,-0.33814862370491,0.0188601,1.94012859844092E-02
,,2.46969246864319,-0.284756720066071,,
,,2.46970748901367,-0.266959428787231,0.01911175,0.242642869702923
,,2.46500873565674,0.231364846229553,,
,,2.46516537666321,0.231364846229553,0.02121699,9.98837510429048E-02
,,2.4600031375885,0.231364846229553,,
,,2.45982480049133,0.177972957491875,0.02009887,9.37584804660756E-02
,,2.45510101318359,0.231364846229553,,
,,2.45493483543396,0.195770248770714,0.02025779,5.57092214755236E-02
,,2.44927573204041,-0.30255401134491,,
,,2.4499876499176,-0.284756720066071,0.02064689,0.049596578315083
,,2.44497489929199,-0.409337788820267,,
,,2.44499564170837,-0.33814862370491,0.01976484,0.145848414753676
,,2.44002652168274,-0.391540497541428,,
,,2.44001626968384,1.77972950041294E-02,0.01919258,0.115321331092509
,,2.43494009971619,1.77972950041294E-02,,
,,2.43500876426697,-3.55945900082588E-02,0.02091654,5.63774951609685E-03
,,2.42980480194092,5.33918887376785E-02,,
,,2.42988634109497,-3.55945900082588E-02,0.01913547,1.62663273148646E-02
,,2.42499184608459,3.55945900082588E-02,,
,,2.42480301856995,-0.249162137508392,0.02075053,2.44751343833171E-02
,,2.42003393173218,1.77972950041294E-02,,
,,2.41991949081421,-0.30255401134491,0.01889153,7.62358840147597E-02
,,2.41510963439941,-3.55945900082588E-02,,
,,2.41510653495789,3.55945900082588E-02,0.02001131,0.123306602264129
,,2.4100387096405,0,,
,,2.41001272201538,1.77972950041294E-02,0.0201131,1.48990204032374E-02
,,2.40513706207275,-5.33918887376785E-02,,
,,2.40529179573059,-3.55945900082588E-02,0.02015754,5.36506443246846E-02
,,2.40005993843079,-1.77972950041294E-02,,
,,2.40005850791931,-0.231364846229553,0.02064715,9.68138039458449E-02
,,2.39498853683472,1.77972950041294E-02,,
,,2.39519643783569,-0.231364846229553,0.02113491,7.35452821556285E-02
,,2.39003968238831,-0.142378360033035,,
,,2.38990068435669,-1.77972950041294E-02,0.01990009,0.202101602828658
,,2.38506579399109,0,,
,,2.38552689552307,-7.11891800165176E-02,0.01918068,6.84355816036769E-02
,,2.38007616996765,1.77972950041294E-02,,
,,2.38009452819824,-0.320351332426071,0.019229,0.201967954483846
,,2.3750741481781,0.516121566295624,,
,,2.3750741481781,0.498324275016785,0.0212918,8.78710096878801E-02
,,2.37006759643555,0.516121566295624,,
,,2.36997389793396,0.355945914983749,0.02011831,7.34022683017244E-02
,,2.36486601829529,0.266959428787231,,
,,2.3648087978363,0.58731073141098,0.0205383,0.135575355642769
,,2.36001634597778,8.89864787459373E-02,,
,,2.35983562469482,3.55945900082588E-02,0.01874381,0.117763668316236
,,2.35511016845703,-0.30255401134491,,
,,2.35514783859253,5.33918887376785E-02,0.01940059,0.128894184351785
,,2.34989619255066,1.77972950041294E-02,,
,,2.35011315345764,7.11891800165176E-02,0.01999698,3.54302799615484E-03
,,2.34482431411743,-3.55945900082588E-02,,
,,2.34497857093811,0,0.01943662,3.60313598795814E-02
,,2.33993744850159,0.106783777475357,,
,,2.33997559547424,3.55945900082588E-02,0.01963171,0.129039392491804
,,2.3350989818573,5.33918887376785E-02,,
,,2.3350977897644,-0.106783777475357,0.02071163,1.13425847107468E-02
,,2.33026337623596,7.11891800165176E-02,,
,,2.32994437217712,5.33918887376785E-02,0.01951793,0.148302233094436
,,2.32484316825867,0.231364846229553,,
,,2.32505512237549,0.213567554950714,0.02220098,0.136448762023869
,,2.31985974311829,0.249162137508392,,
,,2.31993556022644,-0.266959428787231,0.01815224,0.186991868002582
,,2.314857006073,-0.249162137508392,,
,,2.31509971618652,-0.551716148853302,0.0203394,0.201755332719581
,,2.30997896194458,-0.284756720066071,,
,,2.31006479263306,-0.533918857574463,0.02014372,8.99834438158043E-02
,,2.30516648292542,-0.533918857574463,,
,,2.30495762825012,-0.284756720066071,0.01942678,8.29941037798982E-02
,,2.29993772506714,-0.320351332426071,,
,,2.30014300346375,5.33918887376785E-02,0.01932027,4.03995124118504E-02
,,2.29517579078674,-1.77972950041294E-02,,
,,2.29483795166016,-0.33814862370491,0.01901795,3.24365991824089E-02
,,2.29021310806274,-7.11891800165176E-02,,
,,2.29006457328796,1.77972950041294E-02,0.01964718,0.113154355973996
,,2.28516745567322,-3.55945900082588E-02,,
,,2.28502869606018,-3.55945900082588E-02,0.02012791,6.91614168318159E-02
,,2.28021025657654,-1.77972950041294E-02,,
,,2.27997469902039,-3.55945900082588E-02,0.02034501,1.81541399773506E-02
,,2.27484107017517,-3.55945900082588E-02,,
,,2.27492356300354,1.77972950041294E-02,0.01994446,6.47595722306316E-02
,,2.26990842819214,3.55945900082588E-02,,
,,2.27017259597778,0.533918857574463,0.01971023,4.07137515368429E-02
,,2.26508808135986,0.533918857574463,,
,,2.26500725746155,0.569513440132141,0.02034819,8.46325601535542E-02
,,2.25987601280212,0.569513440132141,,
,,2.26011204719543,0.551716148853302,0.02056168,8.53160262534634E-02
,,2.25508260726929,0.284756720066071,,
,,2.25525164604187,0.213567554950714,0.0211805,3.10766427970228E-02
,,2.25000715255737,0.444932401180267,,
,,2.24941945075989,0.462729692459106,0.02089397,5.90105481051593E-02
,,2.24513840675354,0.533918857574463,,
,,2.24493789672852,0.551716148853302,0.02178912,0.189898908535032
,,2.23994326591492,0.516121566295624,,
,,2.23983693122864,0.551716148853302,0.01907426,0.16034946039166
,,2.23502087593079,0.516121566295624,,
,,2.23501563072205,0.533918857574463,0.02019809,0.182722695351103
,,2.23001194000244,0.516121566295624,,
,,2.22995233535767,0.569513440132141,0.0208804,6.50639017628862E-02
,,2.22497415542603,0.569513440132141,,
,,2.22497534751892,0.516121566295624,0.01954483,0.158624296413596
,,2.21991086006165,0.462729692459106,,
,,2.22000575065613,0.480526983737946,0.01930263,0.124320909649431
,,2.21503162384033,0.622905373573303,,
,,2.21497011184692,0.480526983737946,0.02078869,0.067318182838797
,,2.20999383926392,0.355945914983749,,
,,2.21004009246826,0.533918857574463,0.0199735,0.152718430379518
,,2.20487976074219,0.30255401134491,,
,,2.20497989654541,0.320351332426071,0.019263,8.41794229779996E-02
,,2.20023846626282,0.320351332426071,,
,,2.20005178451538,0.355945914983749,0.01913269,0.123360315189498
,,2.19500994682312,0.33814862370491,,
,,2.19484543800354,0.320351332426071,0.01801281,0.127917257743117
,,2.19007277488709,7.11891800165176E-02,,
,,2.18995666503906,0.30255401134491,0.02042403,0.188183383836306
,,2.1849479675293,0.33814862370491,,
,,2.18499350547791,0.266959428787231,0.01986678,1.61886644678947E-02
,,2.17990374565125,0.409337788820267,,
,,2.17994904518127,0.106783777475357,0.02026202,4.56562171084912E-02
,,2.17494821548462,0.30255401134491,,
,,2.17515826225281,0.30255401134491,0.02031582,3.46386435264986E-02
,,2.17018890380859,0.284756720066071,,
,,2.17007827758789,0.266959428787231,0.01992011,4.10326185293064E-02
,,2.16504883766174,-0.195770248770714,,
,,2.16478943824768,-0.177972957491875,0.01989036,0.102414350121478
,,2.16015291213989,-0.142378360033035,,
,,2.16008543968201,-0.444932401180267,0.02094352,5.00770736901876E-02
,,2.15497827529907,-0.284756720066071,,
,,2.15490627288818,0,0.02038528,2.31760759627998E-02
,,2.14980459213257,-1.77972950041294E-02,,
,,2.14990425109863,-1.77972950041294E-02,0.02070756,0.142643451042279
,,2.14512991905212,-5.33918887376785E-02,,
,,2.14504504203796,-5.33918887376785E-02,0.01897864,1.43949226893585E-02
,,2.13951945304871,3.55945900082588E-02,,
,,2.14003896713257,1.77972950041294E-02,0.02056555,0.118343537718331
,,2.13481378555298,-1.77972950041294E-02,,
,,2.13478398323059,-5.33918887376785E-02,0.02019297,5.38164677412771E-02
,,2.12984538078308,-5.33918887376785E-02,,
,,2.12997531890869,-1.77972950041294E-02,0.02110714,4.80744854471009E-02
,,2.12498426437378,-5.33918887376785E-02,,
,,2.12496900558472,-3.55945900082588E-02,0.01972112,8.65568364948008E-02
,,2.11991286277771,-3.55945900082588E-02,,
,,2.12019157409668,-5.33918887376785E-02,0.02026029,1.38146949681231E-02
,,2.11495471000671,-3.55945900082588E-02,,
,,2.11490797996521,0,0.01958213,5.39177010830941E-02
,,2.10986232757568,-0.106783777475357,,
,,2.11010527610779,-7.11891800165176E-02,0.01971646,9.35944111279475E-02
,,2.10515451431274,-7.11891800165176E-02,,
,,2.10493922233582,-3.55945900082588E-02,0.02051515,6.89982598509856E-02
,,2.10018038749695,0.551716148853302,,
,,2.09976863861084,0.480526983737946,0.02042967,9.29647160899031E-02
,,2.09505581855774,0.516121566295624,,
,,2.09489035606384,-5.33918887376785E-02,0.02144934,7.05036926620357E-03
,,2.09007620811462,1.77972950041294E-02,,
,,2.09007978439331,0.160175666213036,0.02049798,0.108262570036915
,,2.08474254608154,0.195770248770714,,
,,2.08506941795349,8.89864787459373E-02,0.0203861,5.41235313390421E-02
,,2.07999300956726,-3.55945900082588E-02,,
,,2.0800678730011,-8.89864787459373E-02,0.0199561,7.33879307566522E-02
,,2.07501173019409,-7.11891800165176E-02,,
,,2.07498002052307,-3.55945900082588E-02,0.01964566,3.23220434829117E-02
,,2.07006788253784,-0.355945914983749,,
,,2.07012295722961,-7.11891800165176E-02,0.02027754,7.32140944456072E-03
,,2.06494212150574,-3.55945900082588E-02,,
,,2.06487131118774,-7.11891800165176E-02,0.01971967,1.55796931373308E-02
,,2.06011939048767,-7.11891800165176E-02,,
,,2.06003546714783,-7.11891800165176E-02,0.02012038,0.125286194056134
,,2.05504083633423,-0.266959428787231,,
,,2.05492520332336,-0.320351332426071,0.02096578,4.94296749172933E-02
,,2.04986548423767,-5.33918887376785E-02,,
,,2.04997086524963,-0.30255401134491,0.02061787,0.213933382413412
,,2.04493474960327,-0.124581068754196,,
,,2.04504179954529,-0.106783777475357,0.01885139,3.06495868912267E-02
,,2.03994655609131,-5.33918887376785E-02,,
,,2.04014658927917,-3.55945900082588E-02,0.02031676,0.034914914167062
,,2.03506731987,0.516121566295624,,
,,2.03502917289734,0.498324275016785,0.01920098,6.00823646443107E-02
,,2.02985692024231,0.516121566295624,,
,,2.03005194664001,0.480526983737946,0.01971025,3.18209897648722E-02
,,2.02498412132263,0.498324275016785,,
,,2.02500057220459,0.516121566295624,0.01888186,4.34150220436267E-02
,,2.02013111114502,0.516121566295624,,
,,2.01999068260193,0.516121566295624,0.01927344,3.37565838965127E-02
,,2.01497983932495,0.498324275016785,,
,,2.01493883132935,0.58731073141098,0.01922151,0.120964663747995
,,2.00996518135071,0.533918857574463,,
,,2.0099093914032,0.498324275016785,0.02049292,3.33106255573904E-02
,,2.00498747825623,-0.320351332426071,,
,,2.00485706329346,-0.249162137508392,0.01955734,0.000620135047806
,,2.00003027915955,-0.33814862370491,,
,,1.99995994567871,-0.33814862370491,0.02048675,0.189787150956029
